zip,total_education_count,hs_diploma,some_college,associates,bachelors,advanced_degree
70339,4562,1948,621,237,263,60
70340,99,36,0,12,0,0
70341,2659,1155,429,154,145,68
70342,3068,1090,550,87,331,90
70343,3198,1563,522,187,170,78
70344,4121,1651,561,178,145,52
70345,6219,2778,906,281,428,135
70346,6895,3047,1192,378,663,275
70352,174,100,10,13,11,0
70353,658,178,180,29,21,0
70354,2899,1133,522,44,98,61
70355,712,319,81,43,27,8
70356,1403,582,210,74,18,0
70357,2015,864,158,71,64,33
70358,629,306,111,12,24,17
70359,5253,2275,928,175,497,70
70360,18026,6497,3968,844,2982,1249
70363,16923,6657,2760,665,583,360
70364,19358,7600,3868,1035,1826,782
70372,1569,732,314,81,170,24
70373,4564,1639,884,150,390,207
70374,5063,2836,613,95,335,161
70375,73,37,28,0,0,0
70377,3127,1534,281,28,133,29
70380,15181,6125,2727,476,1203,459
70390,4587,1584,699,251,489,134
70391,199,25,99,0,35,0
70392,5445,2204,1055,194,472,193
70393,489,148,92,7,73,23
70394,9461,3923,1443,429,1246,244
70395,3882,1545,807,66,380,165
70397,629,261,119,25,0,1
70401,12182,3481,2565,579,2066,1422
70402,0,0,0,0,0,0
70403,16426,5341,3622,608,2465,1006
70420,5994,1873,1128,245,1229,456
70422,9259,3320,1678,487,1405,479
70426,4421,2043,740,179,190,134
70427,12946,5277,2593,901,896,482
70431,3379,1307,838,115,456,256
70433,22491,4904,5256,1799,5720,2475
70435,12838,4051,3668,656,1984,998
70436,457,100,66,0,36,0
70437,5961,2152,1485,244,827,389
70438,12241,4609,2299,684,1179,377
70441,3015,1395,701,168,95,108
70442,142,44,25,0,0,0
70443,6079,2424,1235,160,468,199
70444,6891,3089,1175,247,441,311
70445,7727,2459,1919,491,751,412
70446,4549,1861,734,220,597,153
70447,6720,1362,1608,384,2167,986
70448,17183,2838,3564,1266,5479,3022
70449,2915,1338,623,163,245,0
70450,2108,935,412,57,148,63
70451,26,0,9,8,9,0
70452,8344,3316,1987,474,775,292
70453,646,258,220,10,48,32
70454,17811,6495,4076,1242,2719,969
70455,834,374,193,58,64,19
70456,1850,770,267,48,112,47
70458,24878,7461,6629,1375,3966,2290
70460,13951,4222,3364,1222,1897,748
70461,17868,4911,4812,1199,3115,1751
70462,4050,1731,810,212,451,188
70463,158,68,25,19,5,7
70464,410,213,80,0,0,0
70465,356,146,77,40,0,13
70466,5801,2289,1030,202,537,178
70471,13982,2568,3032,994,4289,2364
70501,19616,6526,4347,538,1675,704
70503,17889,3006,3841,935,6302,3131
70506,27514,7011,7030,1669,5352,2432
70507,11037,3959,2779,621,1397,652
70508,24474,5329,5126,1167,7318,3499
70510,16403,6669,2572,863,1701,422
70512,6718,3492,976,387,473,243
70513,150,90,23,0,37,0
70514,1426,610,229,65,118,76
70515,2519,1074,393,76,133,79
