thedate,regionid,regionname,state,metro,county,city,sizerank,zhvi,mom,qoq,yoy,change_5year,change_10year,peakmonth,peakquarter,peakzhvi,pctfallfrompeak,lasttimeatcurrzhvi
2015-12-31,70286,29061,SC,Columbia,Richland,Hopkins,7679,103200,-0.00386100386100386,0.00584795321637427,0.000969932104752667,-0.00533465382434495,0.00175940370204852,2006-12,2006-Q4,110100,-0.0626702997275204,2006-02
2015-12-31,95901,89423,NV,Gardnerville Ranchos,Douglas,Minden,7680,339100,0.00772659732540862,0.0285107673642706,0.0626762770291445,0.0472296866758062,-0.0287217448946776,2005-12,2005-Q4,455300,-0.255216340874149,2004-04
2015-12-31,77455,45122,OH,Cincinnati,Clermont,Goshen,7681,129900,0.00464037122969838,0.0124707716289945,0.0726672171758877,0.0250434029413837,0.0004634286420373,2006-11,2006-Q4,137000,-0.0518248175182482,2006-08
2015-12-31,67785,23664,VA,Virginia Beach,Hampton City,Hampton,7682,187200,0,0.0091644204851752,0.0434782608695652,-0.00854202869329423,-0.00206089291460909,2008-04,2008-Q2,219200,-0.145985401459854,2005-10
2015-12-31,70725,29829,SC,Augusta,Aiken,Burnettown,7683,93300,-0.00320512820512821,-0.0230366492146597,0.0798611111111111,0.0210277460310091,0.0317637300654823,2015-08,2015-Q3,96100,-0.0291363163371488,2015-02
2015-12-31,64591,16415,PA,Erie,Erie,Fairview Township,7684,190300,0.00475184794086589,0.0165598290598291,0.0583982202447164,0.0281356592714079,0.0168992859489376,2015-12,2015-Q4,190300,0,2015-12
2015-12-31,71887,32234,FL,Jacksonville,Duval,Jacksonville,7685,134200,-0.00813008130081301,-0.0254175744371823,-0.0154071900220103,0.0120200898948248,-0.015097924463874,2006-11,2006-Q4,175400,-0.234891676168757,2005-01
2015-12-31,90897,75428,TX,Dallas-Fort Worth,Hunt,Commerce,7686,67000,0.00903614457831325,0.0291858678955453,0.141396933560477,0.0199461015323932,0.0177329811722822,2000-07,2000-Q3,75600,-0.113756613756614,1999-02
2015-12-31,64664,16635,PA,Altoona,Blair,Allegheny Township,7687,150300,-0.0026542800265428,-0.00529450694904037,-0.0246593121349773,0.0491223978232027,0.0363802766068309,2014-10,2014-Q4,154800,-0.0290697674418605,2014-07
2015-12-31,65315,18036,PA,Allentown,Lehigh,Upper Saucon Township,7688,261500,0.00383877159309021,0.00499615680245965,0.00693107431651906,0.0108591912861082,-0.0103249266203146,2007-06,2007-Q2,305800,-0.144865925441465,2005-03
