zip,science_and_eng_field,science_and_eng_related_field,business_field,education_field,arts_humanities_field
04224,59,21,42,114,26
04226,7,2,0,0,9
04231,23,6,9,4,16
04234,0,0,6,0,0
04236,235,58,180,184,116
04237,10,7,7,12,5
04238,82,1,38,36,60
04239,163,85,64,58,85
04240,1318,317,572,693,920
04250,125,70,80,76,35
04252,215,80,166,101,190
04253,97,29,17,60,53
04254,61,58,40,29,29
04255,48,23,30,16,25
04256,56,30,75,51,49
04257,57,0,16,4,67
04258,126,41,86,77,79
04259,194,59,71,82,187
04260,362,79,155,186,238
04261,28,2,10,27,17
04263,97,29,49,34,17
04265,24,30,13,38,15
04267,0,0,0,0,7
04268,155,63,179,96,90
04270,274,87,107,223,215
04274,146,99,170,160,202
04275,10,2,0,16,4
04276,168,60,58,137,136
04280,268,146,85,264,200
04281,197,13,37,122,247
04282,279,112,100,138,256
04284,107,25,19,61,126
04285,30,27,11,31,26
04286,23,0,0,24,0
04287,151,46,31,62,143
04289,53,23,10,30,58
04290,74,10,11,43,15
04292,34,12,21,40,54
04294,182,40,172,196,88
04330,1334,267,703,748,1169
04342,121,39,67,34,105
04343,29,0,0,32,18
04344,175,36,89,176,147
04345,686,208,294,263,354
04346,66,4,36,40,32
04347,346,103,67,103,195
04348,142,93,103,102,97
04349,88,3,21,56,62
04350,128,72,108,25,105
04351,342,79,136,116,115
04352,91,42,28,69,86
04353,133,28,33,97,97
04354,118,32,36,33,62
04355,383,97,122,93,140
04357,152,40,97,160,126
04358,146,86,72,71,90
04359,0,0,14,14,0
04360,31,15,18,23,20
04363,129,65,21,83,30
04364,417,118,231,173,287
04401,2794,926,1225,1405,1979
04406,8,25,11,20,25
04408,13,2,0,3,2
04410,54,11,14,34,47
04411,43,33,16,61,50
04412,721,347,415,331,347
04413,8,0,3,0,0
04414,27,7,10,23,14
04415,0,0,0,0,10
04416,284,105,124,178,211
04417,10,5,0,1,6
04418,47,4,28,30,9
04419,70,71,51,76,39
04421,116,3,34,50,135
04422,33,23,20,15,17
04424,36,0,6,47,6
04426,250,256,124,76,161
04427,58,41,58,55,51
04428,108,84,82,65,97
04429,359,150,151,148,299
04430,19,37,31,46,25
04431,14,0,0,0,9
04434,38,8,28,22,54
04435,68,21,12,8,17
04438,43,14,38,43,43
04441,128,78,121,46,80
04442,4,0,20,26,0
04443,55,13,20,60,28
04444,882,242,531,449,404
04448,26,35,26,20,60
04449,48,28,39,20,33
04450,49,46,6,29,37
04451,3,0,0,0,5
04453,56,18,7,10,8
04455,32,61,7,37,12
04456,101,96,31,66,89
04457,235,46,24,58,85
04459,6,11,14,18,7
04460,34,6,0,14,23
04461,252,77,55,30,92
04462,125,53,32,74,139
04463,96,31,20,65,46
04464,29,17,5,23,32
04468,727,152,101,168,352
04469,6,0,4,0,0
04471,33,5,13,9,20
04472,154,52,19,119,85
04473,1212,74,203,342,565
04474,304,116,160,188,152
04475,4,11,0,5,7
04476,135,31,11,62,86
04478,20,5,0,8,4
04479,42,13,30,17,36
04481,32,16,8,16,21
04485,12,12,2,13,5
04487,12,8,11,13,20
04488,52,29,11,25,38
04489,73,21,0,0,70
04490,10,2,0,11,6
04491,3,0,2,1,0
04492,4,0,5,4,0
04493,46,25,31,24,34
04495,8,5,0,17,2
04496,221,142,121,203,301
04497,9,3,2,4,6
04530,1067,200,348,335,619
04535,51,7,23,24,55
04537,164,50,65,32,100
04538,185,74,72,60,175
04539,115,12,79,30,65
04541,11,0,0,29,11
04543,225,94,50,59,158
